Date,Open,High,Low,Close,Adj Close,Volume,Days
2014-06-13,115.190002,115.330002,114.959999,115.230003,89.819359,46800,73
2014-06-16,115.120003,115.739998,114.889999,115.629997,90.131157,840700,74
2014-06-17,115.599998,115.800003,115.309998,115.769997,90.240288,55200,75
2014-06-18,115.730003,117.059998,115.730003,117.050003,91.238029,43800,76
2014-06-19,117.239998,117.75,117.239998,117.690002,91.736877,44900,77
2014-06-20,117.849998,117.860001,117.25,117.339996,91.464066,73200,78
2014-06-23,117.349998,117.349998,116.5,116.650002,90.926231,66400,79
2014-06-24,116.389999,116.589996,116.010002,116.169998,90.552078,50800,80
2014-06-25,115.989998,116.139999,115.699997,116.129997,90.520897,39800,81
2014-06-26,116.07,116.07,115.269997,115.68,90.170143,44200,82
2014-06-27,115.650002,115.940002,115.300003,115.93,90.365021,93000,83
2014-06-30,115.699997,116.489998,115.540001,115.839996,90.294853,34200,84
2014-07-01,116.059998,116.559998,115.769997,116.279999,90.637825,47600,85
2014-07-02,116.279999,116.599998,116.279999,116.459999,90.778137,134400,86
2014-07-03,116.589996,117.239998,116.589996,117.029999,91.22245,34200,87
2014-07-07,116.910004,117.32,116.910004,117.169998,91.331551,175700,88
2014-07-08,117.059998,117.239998,116.879997,116.919998,91.136696,33300,89
2014-07-09,117.150002,117.489998,117.129997,117.349998,91.471886,45200,90
2014-07-10,116.5,117.300003,116.360001,117.220001,91.370506,69700,91
2014-07-11,117.220001,117.440002,116.779999,117.339996,91.464066,53100,92
2014-07-14,117.699997,117.970001,117.650002,117.709999,91.752487,59300,93
2014-07-15,117.660004,117.660004,116.650002,116.800003,91.043159,39000,94
2014-07-16,117.019997,117.360001,116.559998,116.730003,90.988602,39300,95
2014-07-17,116.589996,116.82,115.849998,115.889999,90.333817,39200,96
2014-07-18,116.18,117.07,116.139999,117.029999,91.22245,36500,97
2014-07-21,116.540001,116.540001,116.099998,116.419998,90.746941,141800,98
2014-07-22,116.43,116.529999,116.059998,116.419998,90.746941,38400,99
2014-07-23,116.440002,116.629997,116.169998,116.260002,90.622238,33100,100
2014-07-24,116.349998,116.790001,116.349998,116.669998,90.941811,43600,101
2014-07-25,116.620003,116.620003,115.849998,116.089996,90.489716,37900,102
2014-07-28,116.080002,116.080002,115.199997,115.449997,89.990868,690300,103
2014-07-29,115.599998,115.809998,114.860001,114.879997,89.546539,678700,104
2014-07-30,115.160004,115.169998,113.769997,113.769997,88.681343,66100,105
2014-07-31,113.029999,113.059998,111.82,111.830002,87.169144,87900,106
2014-08-01,111.980003,113.059998,111.980003,112.690002,87.83947,111700,107
2014-08-04,112.870003,113.230003,112.410004,113.120003,88.174675,45100,108
2014-08-05,112.949997,113.25,112.239998,112.519997,87.706985,40200,109
2014-08-06,111.75,113.489998,111.75,113.449997,88.4319,54000,110
2014-08-07,113.690002,113.690002,112.349998,112.669998,87.823898,32100,111
2014-08-08,112.75,113.739998,112.629997,113.720001,88.64238,32400,112
2014-08-11,114.010002,115.07,114.010002,114.620003,89.343903,969300,113
2014-08-12,114.580002,114.68,114.239998,114.489998,89.242546,33700,114
2014-08-13,114.660004,114.989998,114.459999,114.779999,89.468605,30400,115
2014-08-14,114.849998,115.25,114.849998,115.25,89.834961,26700,116
2014-08-15,115.940002,116,114.800003,115.379997,89.936295,43900,117
2014-08-18,115.800003,116.199997,115.790001,116.029999,90.442947,185800,118
2014-08-19,116.230003,116.5,115.870003,116.349998,90.692383,46000,119
2014-08-20,116.25,116.449997,116.050003,116.360001,90.70018,72700,120
2014-08-21,116.389999,116.949997,116.389999,116.459999,90.778137,40600,121
2014-08-22,116.459999,116.790001,116.220001,116.32,90.668991,44700,122
2014-08-25,116.709999,117.120003,116.709999,116.959999,91.167862,73000,123
2014-08-26,117.019997,117.169998,116.849998,116.860001,91.08992,52000,124
2014-08-27,116.949997,116.970001,116.720001,116.970001,91.175659,27600,125
2014-08-28,116.669998,117,116.639999,116.959999,91.167862,33800,126
2014-08-29,116.980003,117.139999,116.699997,117.139999,91.308189,52000,127
2014-09-02,117.059998,117.510002,116.75,117.080002,91.261421,57800,128
2014-09-03,117.389999,117.5,117.089996,117.220001,91.370506,40100,129
2014-09-04,117.440002,117.839996,117.209999,117.389999,91.503052,54800,130
2014-09-05,117.440002,118.089996,117.18,118.019997,91.994118,34500,131
2014-09-08,117.940002,118,117.300003,117.389999,91.503052,60400,132
2014-09-09,117.419998,117.43,116.980003,117.040001,91.230232,35700,133
2014-09-10,117.07,117.739998,117.050003,117.599998,91.666733,35900,134
2014-09-11,117.349998,117.779999,117.32,117.769997,91.799263,59700,135
2014-09-12,117.75,117.75,116.690002,116.940002,91.152283,46100,136
2014-09-15,117.160004,117.449997,117.080002,117.360001,91.479645,55300,137
2014-09-16,117.110001,118.5,117.110001,118.230003,92.157806,58500,138
2014-09-17,118.25,118.470001,117.830002,118,91.978539,59800,139
2014-09-18,118.290001,118.339996,117.910004,118.290001,92.204597,41100,140
2014-09-19,118.599998,118.699997,118.410004,118.440002,92.321518,51600,141
2014-09-22,118.260002,118.349998,117.940002,118.080002,92.040894,65100,142
2014-09-23,117.839996,117.849998,117.199997,117.199997,91.354958,38500,143
2014-09-24,117.209999,118.580002,117.209999,118.559998,92.415039,49700,144
2014-09-25,118.339996,118.339996,116.970001,117.18,91.339355,76500,145
2014-09-26,117.099998,117.709999,116.669998,117.519997,91.604393,50200,146
2014-09-29,116.779999,117.599998,116.699997,117.489998,91.580986,297500,147
2014-09-30,117.459999,117.760002,117.129997,117.5,91.588814,63600,148
2014-10-01,117.370003,117.370003,116.510002,116.739998,90.996399,226100,149
2014-10-02,116.610001,117.18,116.339996,116.889999,91.113281,137000,150
2014-10-03,117.650002,118.290001,117.300003,118.190002,92.126625,113000,151
2014-10-06,118.459999,118.459999,117.559998,118.309998,92.220161,121700,152
2014-10-07,117.800003,118.480003,117.639999,117.669998,91.721291,238800,153
2014-10-08,117.760002,119.300003,117.620003,119.290001,92.984055,133300,154
2014-10-09,119.120003,119.809998,118.059998,118.099998,92.056465,97700,155
2014-10-10,118.080002,119.690002,117.889999,118.540001,92.399467,160400,156
2014-10-13,118.419998,118.68,116.879997,116.940002,91.152283,112800,157
2014-10-14,117.419998,117.540001,116.68,116.949997,91.160072,403400,158
2014-10-15,115.660004,116.400002,113.949997,115.720001,90.201317,204200,159
2014-10-16,114.129997,115.389999,113.769997,114.830002,89.507591,119300,160
2014-10-17,115.669998,116.260002,114.830002,116.199997,90.575455,71900,161
2014-10-20,115.889999,117.889999,115.889999,117.800003,91.822639,745400,162
2014-10-21,117.730003,118.449997,117.199997,118.360001,92.259132,127700,163
2014-10-22,118.489998,119.410004,118.489998,118.540001,92.399467,123300,164
2014-10-23,119.220001,119.279999,118.360001,118.519997,92.383865,97400,165
2014-10-24,118.769997,119.5,118.739998,119.449997,93.108765,65200,166
